segment_id,road,direction,miles,road_class,func_class,aadt
segment_1313,road_11000216,EASTBOUND,0.11033100300300301,State Route,3,14010
segment_1314,road_11000216,EASTBOUND,0.44405600100100096,State Route,3,26788
segment_1315,road_11000216,WESTBOUND,0.536197001001001,State Route,3,22696
segment_1316,road_11000219,SOUTHBOUND,0.413147003003003,State Route,3,37059
segment_1317,road_11000219,SOUTHBOUND,0.508724002002002,State Route,3,23798
segment_1318,road_11000219,NORTHBOUND,0.20421900200200202,State Route,3,20809
segment_1319,road_11000219,NORTHBOUND,0.509189001001001,State Route,3,23813
segment_1320,road_11000219,SOUTHBOUND,0.064155,State Route,3,28776
segment_1321,road_11000219,NORTHBOUND,0.32927600100100096,State Route,3,34225
segment_1322,road_11000219,NORTHBOUND,1.528522004004004,State Route,3,32255
segment_1323,road_11000219,SOUTHBOUND,0.33092300100100097,State Route,4,24947
segment_1324,road_11000219,SOUTHBOUND,2.030229003003003,State Route,4,3465
segment_1325,road_11000219,NORTHBOUND,0.277223,State Route,3,30442
segment_1326,road_11000219,SOUTHBOUND,0.08317400400400402,State Route,3,17407
segment_1327,road_11000219,SOUTHBOUND,2.922005001001001,State Route,4,3901
segment_1328,road_11000220,NORTHBOUND,0.191972003003003,State Route,3,24952
segment_1329,road_11000220,NORTHBOUND,0.604717,State Route,3,20768
segment_1330,road_11000220,NORTHBOUND,0.6522120020020019,State Route,3,23709
segment_1331,road_11000221,NORTHBOUND,0.302580002002002,State Route,3,36550
segment_1332,road_11000221,NORTHBOUND,0.8199610040040041,State Route,4,25946
segment_1333,road_11000221,SOUTHBOUND,2.061982,State Route,4,26066
segment_1334,road_11000221,NORTHBOUND,2.069649,State Route,4,24598
segment_1335,road_11000221,NORTHBOUND,1.866602,State Route,4,5767
segment_1336,road_11000221,NORTHBOUND,1.036445003003003,State Route,4,25652
segment_1337,road_11000221,SOUTHBOUND,1.275164,State Route,4,18404
segment_1338,road_11000221,NORTHBOUND,0.102950002002002,State Route,4,18339
segment_1339,road_11000221,SOUTHBOUND,1.140097003003003,State Route,4,10590
segment_1340,road_11000221,NORTHBOUND,0.39927600200200203,State Route,4,16117
segment_1341,road_11000221,SOUTHBOUND,2.57094,State Route,4,4599
segment_1342,road_11000221,SOUTHBOUND,3.359594,State Route,4,6996
segment_1343,road_11000221,SOUTHBOUND,1.866996002002002,State Route,4,6732
segment_1344,road_11000221,SOUTHBOUND,0.127631002002002,State Route,4,19128
segment_1345,road_11000221,NORTHBOUND,3.359594,State Route,4,6154
segment_1346,road_11000221,SOUTHBOUND,0.125193,State Route,4,4818
segment_1347,road_11000221,NORTHBOUND,1.1380950010010011,State Route,4,10174
segment_1348,road_11000221,SOUTHBOUND,0.7675250030030031,State Route,4,4737
segment_1349,road_11000221,NORTHBOUND,0.162895003003003,State Route,4,6395
segment_1350,road_11000221,NORTHBOUND,0.027881004004004003,State Route,3,20743
segment_1351,road_11000221,NORTHBOUND,0.650508002002002,State Route,3,31180
segment_1352,road_11000221,SOUTHBOUND,0.171967001001001,State Route,3,29525
segment_1353,road_11000221,NORTHBOUND,0.014867003003003003,State Route,4,23705
segment_1354,road_11000221,SOUTHBOUND,3.202586004004004,State Route,4,5643
segment_1355,road_11000221,NORTHBOUND,3.198446001001001,State Route,4,5610
segment_1356,road_11000222,EASTBOUND,0.332321003003003,State Route,3,13657
segment_1357,road_11000222,WESTBOUND,1.445189003003003,State Route,3,9810
segment_1358,road_11000222,WESTBOUND,1.388987001001001,State Route,3,13920
segment_1359,road_11000222,WESTBOUND,1.329576,State Route,3,8855
segment_1360,road_11000224,WESTBOUND,0.561158001001001,Other,4,4731
segment_1361,road_11000224,WESTBOUND,1.051303003003003,Other,3,7887
segment_1362,road_11000227,SOUTHBOUND,0.537497004004004,US Route,3,21209
segment_1363,road_11000227,SOUTHBOUND,0.313231,US Route,3,27242
segment_1364,road_11000227,SOUTHBOUND,0.272717,US Route,3,24439
segment_1365,road_11000227,SOUTHBOUND,1.8898950010010012,US Route,3,27220
segment_1366,road_11000227,SOUTHBOUND,1.8580340030030031,US Route,3,33567
segment_1367,road_11000227,SOUTHBOUND,0.7020410020020019,US Route,3,20694
segment_1368,road_11000228,WESTBOUND,0.437323,State Route,3,15410
segment_1369,road_11000228,EASTBOUND,0.101924002002002,State Route,3,18990
segment_1370,road_11000228,EASTBOUND,0.07328600400400401,State Route,3,19702
segment_1371,road_11000228,EASTBOUND,0.06041300300300301,State Route,3,18594
segment_1372,road_11000228,WESTBOUND,1.040321,State Route,3,19895
segment_1373,road_11000228,EASTBOUND,0.694215,State Route,3,18231
segment_1374,road_11000228,WESTBOUND,0.684592002002002,State Route,3,20419
segment_1375,road_11000411,WESTBOUND,1.914618003003003,State Route,3,19013
segment_1376,road_11000411,WESTBOUND,3.107104004004004,State Route,3,5717
segment_1377,road_11000411,EASTBOUND,1.938540001001001,State Route,3,16326
segment_1378,road_11000411,EASTBOUND,3.105102002002002,State Route,3,5858
segment_1379,road_11000411,EASTBOUND,3.960057,State Route,3,4679
segment_1380,road_11000411,WESTBOUND,0.466669,State Route,3,21671
segment_1381,road_11000411,WESTBOUND,3.3949260030030026,State Route,3,4486
segment_1382,road_11000411,EASTBOUND,0.07586000300300301,State Route,3,8561
segment_1383,road_11000411,EASTBOUND,2.079599,State Route,3,14837
segment_1384,road_11000411,WESTBOUND,5.5180410030030025,State Route,3,3251
segment_1385,road_11000411,EASTBOUND,3.392924001001001,State Route,3,4613
segment_1386,road_11000411,WESTBOUND,0.060079002002002,State Route,3,5201
segment_1387,road_11000413,EASTBOUND,0.731842,State Route,3,23378
segment_1388,road_11000415,WESTBOUND,0.15521800400400398,Other,4,8555
segment_1389,road_11000419,SOUTHBOUND,2.718363004004004,US Route,3,3161
segment_1390,road_11000419,SOUTHBOUND,5.789319003003003,US Route,3,5262
segment_1391,road_11000419,SOUTHBOUND,0.925691001001001,US Route,3,11900
segment_1392,road_11000419,SOUTHBOUND,0.7882660020020019,US Route,3,7145
segment_1393,road_11000419,NORTHBOUND,2.6493940030030028,US Route,3,9319
segment_1394,road_11000419,NORTHBOUND,0.568377,US Route,3,6948
segment_1395,road_11000419,NORTHBOUND,6.227238002002002,US Route,3,4509
segment_1396,road_11000420,SOUTHBOUND,0.426750003003003,Other,3,21711
segment_1397,road_11000421,NORTHBOUND,0.05389,State Route,3,11930
segment_1398,road_11000421,NORTHBOUND,0.062309002002002,State Route,3,20001
segment_1399,road_11000421,NORTHBOUND,1.535171002002002,State Route,3,14676
segment_1400,road_11000421,SOUTHBOUND,3.456886,State Route,3,19373
